CommentCount,DownVotes,Outlier,Reputation,Score,UpVotes,ViewCount,Views,postId,userId
4,59,Reputation,18283,10,1014,0,3781,167,159
0,59,Reputation,18283,2,1014,0,3781,169,159
0,59,Reputation,18283,8,1014,0,3781,171,159
0,59,Reputation,18283,35,1014,0,3781,174,159
2,59,Reputation,18283,22,1014,0,3781,177,159
0,59,Reputation,18283,12,1014,0,3781,179,159
0,59,Reputation,18283,50,1014,39097,3781,181,159
0,59,Reputation,18283,6,1014,0,3781,184,159
3,59,Reputation,18283,51,1014,9772,3781,213,159
2,59,Reputation,18283,15,1014,0,3781,221,159
2,59,Reputation,18283,10,1014,0,3781,229,159
4,59,Reputation,18283,12,1014,0,3781,261,159
2,59,Reputation,18283,27,1014,0,3781,370,159
0,59,Reputation,18283,8,1014,0,3781,530,159
0,59,Reputation,18283,4,1014,0,3781,531,159
5,59,Reputation,18283,12,1014,0,3781,532,159
6,59,Reputation,18283,44,1014,11149,3781,534,159
3,59,Reputation,18283,14,1014,0,3781,541,159
6,59,Reputation,18283,31,1014,0,3781,587,159
0,59,Reputation,18283,9,1014,0,3781,610,159
0,59,Reputation,18283,15,1014,3833,3781,622,159
2,59,Reputation,18283,4,1014,0,3781,625,159
6,59,Reputation,18283,74,1014,0,3781,729,159
5,59,Reputation,18283,146,1014,0,3781,730,159
4,59,Reputation,18283,16,1014,0,3781,862,159
0,59,Reputation,18283,6,1014,0,3781,872,159
0,59,Reputation,18283,3,1014,0,3781,883,159
6,59,Reputation,18283,24,1014,0,3781,1026,159
2,59,Reputation,18283,20,1014,0,3781,1055,159
2,59,Reputation,18283,6,1014,0,3781,1086,159
3,59,Reputation,18283,36,1014,0,3781,1150,159
8,59,Reputation,18283,29,1014,0,3781,1153,159
0,59,Reputation,18283,5,1014,0,3781,1158,159
0,59,Reputation,18283,4,1014,0,3781,1161,159
11,59,Reputation,18283,9,1014,0,3781,1206,159
6,59,Reputation,18283,17,1014,0,3781,1214,159
2,59,Reputation,18283,3,1014,0,3781,1216,159
3,59,Reputation,18283,5,1014,0,3781,1277,159
5,59,Reputation,18283,9,1014,0,3781,1295,159
0,59,Reputation,18283,36,1014,0,3781,1382,159
3,59,Reputation,18283,5,1014,0,3781,1428,159
0,59,Reputation,18283,11,1014,0,3781,1442,159
5,59,Reputation,18283,66,1014,28878,3781,1444,159
2,59,Reputation,18283,4,1014,0,3781,1472,159
1,59,Reputation,18283,7,1014,0,3781,1497,159
2,59,Reputation,18283,6,1014,0,3781,1570,159
1,59,Reputation,18283,6,1014,0,3781,1585,159
0,59,Reputation,18283,27,1014,0,3781,1630,159
2,59,Reputation,18283,17,1014,0,3781,1639,159
1,59,Reputation,18283,8,1014,0,3781,1647,159
4,59,Reputation,18283,7,1014,0,3781,1720,159
1,59,Reputation,18283,1,1014,0,3781,1774,159
4,59,Reputation,18283,14,1014,0,3781,1806,159
0,59,Reputation,18283,2,1014,0,3781,1938,159
2,59,Reputation,18283,6,1014,0,3781,2204,159
3,59,Reputation,18283,1,1014,0,3781,2292,159
4,59,Reputation,18283,6,1014,0,3781,2330,159
12,59,Reputation,18283,7,1014,0,3781,2367,159
0,59,Reputation,18283,5,1014,0,3781,2387,159
0,59,Reputation,18283,18,1014,0,3781,2724,159
0,59,Reputation,18283,3,1014,0,3781,2924,159
2,59,Reputation,18283,9,1014,0,3781,3002,159
2,59,Reputation,18283,6,1014,0,3781,3032,159
0,59,Reputation,18283,9,1014,0,3781,3128,159
2,59,Reputation,18283,3,1014,0,3781,3129,159
0,59,Reputation,18283,20,1014,0,3781,3184,159
0,59,Reputation,18283,0,1014,0,3781,3189,159
0,59,Reputation,18283,0,1014,0,3781,3190,159
4,59,Reputation,18283,4,1014,0,3781,3224,159
2,59,Reputation,18283,5,1014,0,3781,3255,159
0,59,Reputation,18283,8,1014,0,3781,3408,159
1,59,Reputation,18283,25,1014,0,3781,3543,159
2,59,Reputation,18283,25,1014,0,3781,3553,159
1,59,Reputation,18283,5,1014,0,3781,3581,159
0,59,Reputation,18283,6,1014,0,3781,3617,159
4,59,Reputation,18283,32,1014,0,3781,3733,159
6,59,Reputation,18283,12,1014,366,3781,3752,159
0,59,Reputation,18283,3,1014,0,3781,3870,159
0,59,Reputation,18283,6,1014,0,3781,4096,159
0,59,Reputation,18283,8,1014,0,3781,4103,159
6,59,Reputation,18283,6,1014,0,3781,4149,159
4,59,Reputation,18283,3,1014,0,3781,4156,159
2,59,Reputation,18283,4,1014,0,3781,4372,159
2,59,Reputation,18283,5,1014,0,3781,4378,159
6,59,Reputation,18283,3,1014,0,3781,4415,159
1,59,Reputation,18283,3,1014,0,3781,4433,159
4,59,Reputation,18283,9,1014,0,3781,4490,159
7,59,Reputation,18283,6,1014,0,3781,4586,159
0,59,Reputation,18283,16,1014,0,3781,4716,159
4,59,Reputation,18283,5,1014,0,3781,5176,159
2,59,Reputation,18283,4,1014,0,3781,5177,159
1,59,Reputation,18283,7,1014,0,3781,5496,159
2,59,Reputation,18283,3,1014,0,3781,5497,159
2,59,Reputation,18283,4,1014,0,3781,5498,159
2,59,Reputation,18283,8,1014,0,3781,5830,159
