,PostId,userId,Score,ViewCount,CommentCount
0,1,8.0,23,1278.0,1
1,2,24.0,22,8198.0,1
2,3,18.0,54,3613.0,4
3,4,23.0,13,5224.0,2
4,5,23.0,81,,3
5,6,5.0,152,29229.0,5
6,7,38.0,76,5808.0,3
7,8,37.0,0,288.0,2
8,9,50.0,13,,3
9,10,24.0,23,21925.0,4
10,11,34.0,2,224.0,2
11,12,5.0,20,,1
12,13,23.0,14,,4
13,14,36.0,5,,1
14,15,6.0,13,,0
15,16,8.0,16,,3
16,17,,9,1261.0,0
17,18,36.0,31,,1
18,19,55.0,12,,0
19,20,37.0,3,,2
20,21,59.0,4,184.0,1
21,22,66.0,102,21916.0,1
22,23,69.0,10,7694.0,1
23,24,61.0,17,,0
24,25,69.0,7,2095.0,4
25,26,75.0,18,3476.0,14
26,27,68.0,4,,0
27,28,,6,,0
28,29,36.0,5,,0
29,30,69.0,7,705.0,2
30,31,13.0,66,175495.0,3
31,32,5.0,12,,0
32,33,69.0,5,1428.0,1
33,34,79.0,3,,0
34,35,54.0,10,1223.0,0
35,36,8.0,41,67396.0,7
36,38,61.0,2,,2
37,39,59.0,4,210.0,0
38,40,69.0,8,491.0,1
39,41,83.0,8,,0
40,42,80.0,12,,3
41,43,74.0,7,,5
42,44,68.0,8,453.0,1
43,45,55.0,5,,1
44,46,62.0,0,,2
45,47,22.0,7,312.0,2
46,48,36.0,3,,4
47,49,5.0,6,,0
48,50,62.0,18,2414.0,4
49,51,68.0,1,120.0,0
50,52,36.0,7,,0
51,53,17.0,40,25962.0,4
52,54,55.0,11,497.0,5
53,55,56.0,7,,0
54,56,,56,,7
55,57,69.0,2,,4
56,58,68.0,10,1667.0,0
57,59,39.0,24,,1
58,60,41.0,1,,1
59,61,74.0,22,,5
60,62,58.0,4,124.0,0
61,63,87.0,25,,2
62,64,5.0,6,,0
63,65,8.0,14,,3
64,66,41.0,5,,0
65,67,36.0,2,,0
66,69,56.0,3,,0
67,70,22.0,15,,1
68,71,36.0,2,,0
69,72,96.0,6,,0
70,73,22.0,24,5717.0,5
71,74,88.0,25,,0
72,75,69.0,5,754.0,4
73,76,5.0,22,,3
74,77,74.0,16,,7
75,78,8.0,33,,4
76,79,25.0,4,,1
77,80,93.0,8,,2
78,81,69.0,7,,0
79,83,5.0,2,,0
80,84,41.0,6,,0
81,85,87.0,15,,2
82,86,13.0,8,,5
83,89,55.0,5,,0
84,90,22.0,3,,0
85,91,87.0,10,,0
86,93,61.0,5,412.0,3
87,94,88.0,5,,0
88,95,57.0,5,446.0,0
89,96,5.0,4,,0
90,97,114.0,35,14608.0,1
91,98,39.0,10,,0
92,99,88.0,7,,1
93,100,117.0,4,3918.0,0
94,101,,40,,6
95,102,22.0,1,,0
96,103,5.0,28,1990.0,6
97,104,74.0,16,,0
98,105,46.0,19,,1
99,107,46.0,11,,0
100,108,5.0,14,,1
101,109,25.0,2,3980.0,2
102,110,61.0,3,,2
103,111,8.0,8,,3
104,112,12.0,2,,0
105,113,39.0,9,413.0,5
106,114,8.0,30,1220.0,1
107,115,127.0,1,,0
108,116,72.0,12,,4
109,117,36.0,25,,1
110,118,83.0,122,39118.0,11
111,119,88.0,6,,3
112,120,41.0,39,,4
113,121,61.0,71,,6
114,123,130.0,13,,0
115,124,131.0,23,1131.0,0
116,125,5.0,75,29261.0,2
117,126,5.0,26,,4
118,127,61.0,18,,2
119,128,132.0,3,12626.0,0
120,129,8.0,4,,0
